epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2232.85,0.79872,0.63771,1.11725,0.96055,0.93933,0.97801,0.78757,0.75576,0.53583,1.08496,0.000917489,0.000917489,0.000917489
71,2277.12,0.75775,0.61473,1.09226,0.98056,0.9294,0.97918,0.81534,0.66645,0.52979,0.99233,0.000908778,0.000908778,0.000908778
72,2306.68,0.7585,0.58743,1.08608,0.97505,0.96235,0.98419,0.84388,0.65621,0.47062,0.96817,0.000899997,0.000899997,0.000899997
73,2336.12,0.75904,0.58908,1.08228,0.96594,0.96252,0.98505,0.83823,0.63876,0.45694,0.99645,0.000891148,0.000891148,0.000891148
74,2364.87,0.77893,0.6095,1.0895,0.98496,0.94907,0.98388,0.82532,0.67128,0.50631,1.01367,0.000882233,0.000882233,0.000882233
75,2394.31,0.70798,0.57462,1.07778,0.98264,0.95509,0.98568,0.81967,0.64529,0.46769,0.98549,0.000873255,0.000873255,0.000873255
76,2462.13,0.74874,0.5661,1.08251,0.95747,0.94128,0.98193,0.81844,0.69888,0.49273,1.03596,0.000864216,0.000864216,0.000864216
77,2498.32,0.75419,0.59855,1.09465,0.9638,0.93479,0.97602,0.78998,0.7392,0.53345,1.05381,0.000855117,0.000855117,0.000855117
78,2550.8,0.77919,0.59437,1.09222,0.95401,0.9812,0.98513,0.82044,0.72516,0.49672,1.02945,0.000845962,0.000845962,0.000845962
79,2578.48,0.76957,0.59845,1.08335,0.97694,0.97084,0.99159,0.82712,0.6842,0.47704,0.9864,0.000836753,0.000836753,0.000836753
80,2607.14,0.73893,0.56952,1.06919,0.96712,0.95292,0.9796,0.81697,0.65731,0.46571,1.00089,0.000827491,0.000827491,0.000827491
81,2636.93,0.70798,0.53951,1.05241,0.97869,0.96478,0.98497,0.83347,0.6323,0.48027,0.97913,0.000818179,0.000818179,0.000818179
82,2664.96,0.71587,0.55197,1.04486,0.97656,0.96263,0.98589,0.83219,0.60404,0.45583,0.94992,0.000808819,0.000808819,0.000808819
83,2694.44,0.66848,0.51574,1.0492,0.98535,0.96411,0.98713,0.84105,0.61247,0.4409,0.96052,0.000799415,0.000799415,0.000799415
84,2723.01,0.71052,0.54162,1.05224,0.95387,0.96574,0.98287,0.81903,0.65899,0.46971,0.98655,0.000789967,0.000789967,0.000789967
85,2754.06,0.74997,0.55316,1.07636,0.98565,0.94462,0.98431,0.8317,0.66537,0.48126,0.98729,0.000780478,0.000780478,0.000780478
86,2783.49,0.70582,0.53746,1.05284,0.97317,0.97373,0.987,0.8493,0.60783,0.43923,0.96893,0.000770951,0.000770951,0.000770951
87,2817.48,0.64592,0.51616,1.0197,0.98126,0.96966,0.98633,0.85545,0.57265,0.43146,0.93471,0.000761388,0.000761388,0.000761388
88,2847.6,0.65156,0.51753,1.02936,0.97255,0.97186,0.9864,0.85054,0.61214,0.4485,0.96079,0.000751792,0.000751792,0.000751792
89,2875.72,0.65825,0.52332,1.01964,0.97276,0.97169,0.98668,0.85806,0.59505,0.43599,0.93411,0.000742164,0.000742164,0.000742164
90,2902.81,0.65019,0.49883,1.03071,0.99375,0.94769,0.98593,0.85877,0.58772,0.44976,0.94121,0.000732507,0.000732507,0.000732507
91,2937.76,0.64865,0.48793,1.00516,0.97808,0.9557,0.98521,0.83796,0.62816,0.43811,0.98469,0.000722824,0.000722824,0.000722824
92,2981.49,0.65675,0.474,1.00421,0.9769,0.96966,0.98879,0.844,0.62818,0.42584,0.97008,0.000713117,0.000713117,0.000713117
93,3012.17,0.67065,0.51166,1.02221,0.97918,0.95051,0.98359,0.83088,0.64959,0.45558,0.97992,0.000703388,0.000703388,0.000703388
94,3040.23,0.65066,0.4962,1.01555,0.97052,0.97932,0.99019,0.85847,0.59813,0.40184,0.93401,0.00069364,0.00069364,0.00069364
95,3069.02,0.66045,0.47942,1.01455,0.9902,0.94561,0.98707,0.83372,0.62416,0.42287,0.94881,0.000683874,0.000683874,0.000683874
96,3096.01,0.69844,0.48882,1.01853,0.97164,0.97403,0.9897,0.85075,0.63145,0.43269,0.95277,0.000674095,0.000674095,0.000674095
97,3124.37,0.67211,0.47809,1.02895,0.97074,0.96403,0.98272,0.84687,0.62099,0.42718,0.96369,0.000664303,0.000664303,0.000664303
98,3152.53,0.66939,0.48438,1.01925,0.9801,0.94571,0.98317,0.85242,0.60984,0.44958,0.93899,0.000654501,0.000654501,0.000654501
99,3184.21,0.65395,0.46863,0.99202,0.96608,0.96238,0.98727,0.8538,0.62461,0.4145,0.93779,0.000644692,0.000644692,0.000644692
100,3213.04,0.71889,0.48973,1.03584,0.97883,0.95219,0.98788,0.84182,0.612,0.41027,0.94925,0.000634879,0.000634879,0.000634879
101,3239.46,0.64109,0.45454,1.00418,0.97605,0.97658,0.98951,0.86365,0.55925,0.38643,0.92754,0.000625063,0.000625063,0.000625063
102,3271.05,0.61561,0.4607,0.99557,0.99312,0.96979,0.98911,0.85515,0.60066,0.4142,0.95746,0.000615246,0.000615246,0.000615246
